time,EAR
45:37:422650,0
45:37:422650,0
45:37:422650,0
45:37:422650,0
45:37:422650,0
45:37:422650,0
45:37:422650,1
45:37:422650,0
45:37:422650,0
45:37:422650,0
45:38:578186,0
45:38:578186,0
45:38:578186,0
45:38:578186,0
45:38:578186,0
45:38:578186,0
45:38:578186,0
45:38:578186,0
45:38:578186,1
45:38:578186,1
45:39:880200,1
45:39:880200,1
45:39:880200,1
45:39:880200,1
45:39:880200,1
45:39:880200,1
45:39:880200,1
45:39:880200,1
45:39:880200,1
45:39:880200,1
45:41:220298,1
45:41:220298,1
45:41:220298,1
45:41:220298,0
45:41:220298,0
45:41:220298,0
45:41:220298,0
45:41:220298,0
45:41:220298,0
45:41:220298,0
45:42:528942,0
45:42:528942,0
45:42:528942,0
45:42:528942,0
45:42:528942,0
45:42:528942,0
45:42:528942,1
45:42:528942,1
45:42:528942,1
45:42:528942,1
45:43:730370,1
45:43:730370,1
45:43:730370,1
45:43:730370,1
45:43:730370,1
45:43:730370,1
45:43:730370,1
45:43:730370,1
45:43:730370,1
45:43:730370,1
45:44:927693,1
45:44:927693,0
45:44:927693,0
45:44:927693,0
45:44:927693,0
45:44:927693,0
45:44:927693,0
45:44:927693,0
45:44:927693,1
45:44:927693,0
45:46:109775,1
45:46:109775,0
45:46:109775,0
45:46:109775,0
45:46:109775,0
45:46:109775,0
45:48:443662,0
45:48:443662,0
45:49:599781,0
45:49:599781,0
45:49:599781,0
45:49:599781,0
45:49:599781,0
45:49:599781,0
45:50:890518,0
45:50:890518,0
45:50:890518,0
45:50:890518,1
45:52:058286,1
45:52:058286,0
45:52:058286,0
45:53:245303,0
45:53:245303,0
45:53:245303,0
45:53:245303,0
45:53:245303,0
45:53:245303,1
45:54:405806,0
45:54:405806,0
45:54:405806,0
45:54:405806,0
45:54:405806,0
45:54:405806,0
45:55:580662,0
45:55:580662,0
45:55:580662,0
45:56:833077,0
45:56:833077,0
45:56:833077,0
45:56:833077,1
45:56:833077,1
45:56:833077,0
45:56:833077,0
45:56:833077,0
45:56:833077,1
45:56:833077,0
45:58:125128,0
45:58:125128,0
45:58:125128,0
45:58:125128,0
45:58:125128,0
45:58:125128,0
45:58:125128,1
45:58:125128,1
45:58:125128,0
45:58:125128,0
45:59:406938,0
45:59:406938,0
45:59:406938,0
45:59:406938,0
45:59:406938,1
45:59:406938,0
45:59:406938,0
45:59:406938,1
45:59:406938,1
45:59:406938,0
46:00:641014,0
46:00:641014,0
46:00:641014,0
46:00:641014,0
46:00:641014,0
46:00:641014,1
46:00:641014,0
46:00:641014,0
46:00:641014,0
46:00:641014,0
46:01:889809,0
46:01:889809,1
46:01:889809,0
46:01:889809,0
46:01:889809,0
46:01:889809,0
46:01:889809,0
46:01:889809,1
46:01:889809,0
46:01:889809,0
46:03:117310,1
46:03:117310,1
46:03:117310,0
46:03:117310,0
46:03:117310,0
46:03:117310,1
46:03:117310,1
46:03:117310,0
46:03:117310,0
46:03:117310,0
46:04:397572,0
46:04:397572,0
46:04:397572,0
46:04:397572,0
46:04:397572,1
46:04:397572,0
46:04:397572,0
46:04:397572,0
46:04:397572,0
46:04:397572,0
46:05:627001,1
46:09:261762,1
46:09:261762,0
46:09:261762,0
46:09:261762,0
46:09:261762,0
46:09:261762,0
46:10:524343,0
46:10:524343,0
46:10:524343,0
46:10:524343,0
46:10:524343,0
46:10:524343,0
46:10:524343,1
46:10:524343,1
46:10:524343,1
46:10:524343,1
46:11:816519,1
46:11:816519,1
46:11:816519,1
46:11:816519,1
46:11:816519,1
46:11:816519,1
46:11:816519,1
46:11:816519,1
46:11:816519,1
46:11:816519,1
46:13:100695,1
46:13:100695,1
46:13:100695,1
46:13:100695,1
46:13:100695,1
46:13:100695,1
46:13:100695,1
46:13:100695,1
46:13:100695,1
46:13:100695,1
46:14:319726,1
46:14:319726,1
46:14:319726,1
46:14:319726,1
46:14:319726,1
46:14:319726,0
46:14:319726,0
46:14:319726,0
46:14:319726,0
46:14:319726,0
46:15:569510,0
46:15:569510,0
46:15:569510,0
46:15:569510,0
46:15:569510,1
46:15:569510,1
46:15:569510,1
46:15:569510,0
46:15:569510,0
46:15:569510,1
46:16:840458,1
46:16:840458,1
46:16:840458,1
46:16:840458,1
46:16:840458,1
46:16:840458,1
46:16:840458,1
46:16:840458,0
46:16:840458,1
46:16:840458,0
46:17:996725,1
46:17:996725,1
46:17:996725,1
46:17:996725,0
46:17:996725,1
46:17:996725,1
46:17:996725,0
46:17:996725,1
46:17:996725,0
46:17:996725,0
46:19:164973,0
46:19:164973,0
46:19:164973,0
46:19:164973,0
46:19:164973,0
46:19:164973,0
46:19:164973,0
46:19:164973,0
46:19:164973,0
46:19:164973,1
46:20:381432,0
46:20:381432,1
46:20:381432,0
46:20:381432,0
46:20:381432,0
46:20:381432,1
46:20:381432,1
46:20:381432,1
46:20:381432,1
46:20:381432,1
46:21:675085,1
46:21:675085,1
46:21:675085,1
46:21:675085,1
46:21:675085,1
46:21:675085,1
46:21:675085,1
46:21:675085,0
46:21:675085,0
46:21:675085,0
46:22:864643,0
46:22:864643,0
46:22:864643,0
46:22:864643,1
46:22:864643,1
46:22:864643,0
46:22:864643,0
46:22:864643,0
46:22:864643,0
46:22:864643,0
46:24:258325,0
46:24:258325,0
46:24:258325,0
46:24:258325,0
46:24:258325,0
46:24:258325,0
46:24:258325,0
46:24:258325,0
46:24:258325,0
46:25:747731,0
46:25:747731,0
46:25:747731,0
46:25:747731,0
46:25:747731,0
46:25:747731,0
46:25:747731,0
46:25:747731,0
46:25:747731,0
46:25:747731,0
46:26:919789,0
46:26:919789,1
46:26:919789,0
46:26:919789,0
46:26:919789,0
46:26:919789,0
46:26:919789,0
